,noFacture,dateFacture,pays
0,536365.0,2010-12-01 08:26:00,United Kingdom
7,536366.0,2010-12-01 08:28:00,United Kingdom
9,536367.0,2010-12-01 08:34:00,United Kingdom
21,536368.0,2010-12-01 08:34:00,United Kingdom
25,536369.0,2010-12-01 08:35:00,United Kingdom
26,536370.0,2010-12-01 08:45:00,France
46,536371.0,2010-12-01 09:00:00,United Kingdom
47,536372.0,2010-12-01 09:01:00,United Kingdom
49,536373.0,2010-12-01 09:02:00,United Kingdom
65,536374.0,2010-12-01 09:09:00,United Kingdom
66,536375.0,2010-12-01 09:32:00,United Kingdom
82,536376.0,2010-12-01 09:32:00,United Kingdom
84,536377.0,2010-12-01 09:34:00,United Kingdom
86,536378.0,2010-12-01 09:37:00,United Kingdom
105,536380.0,2010-12-01 09:41:00,United Kingdom
106,536381.0,2010-12-01 09:41:00,United Kingdom
142,536382.0,2010-12-01 09:45:00,United Kingdom
155,536384.0,2010-12-01 09:53:00,United Kingdom
168,536385.0,2010-12-01 09:56:00,United Kingdom
175,536386.0,2010-12-01 09:57:00,United Kingdom
178,536387.0,2010-12-01 09:58:00,United Kingdom
183,536388.0,2010-12-01 09:59:00,United Kingdom
197,536389.0,2010-12-01 10:03:00,Australia
211,536390.0,2010-12-01 10:19:00,United Kingdom
242,536392.0,2010-12-01 10:29:00,United Kingdom
252,536393.0,2010-12-01 10:37:00,United Kingdom
253,536394.0,2010-12-01 10:39:00,United Kingdom
264,536395.0,2010-12-01 10:47:00,United Kingdom
278,536396.0,2010-12-01 10:51:00,United Kingdom
296,536397.0,2010-12-01 10:51:00,United Kingdom
298,536398.0,2010-12-01 10:52:00,United Kingdom
315,536399.0,2010-12-01 10:52:00,United Kingdom
317,536400.0,2010-12-01 10:53:00,United Kingdom
318,536401.0,2010-12-01 11:21:00,United Kingdom
382,536402.0,2010-12-01 11:22:00,United Kingdom
385,536403.0,2010-12-01 11:27:00,Netherlands
387,536404.0,2010-12-01 11:29:00,United Kingdom
415,536405.0,2010-12-01 11:32:00,United Kingdom
416,536406.0,2010-12-01 11:33:00,United Kingdom
433,536407.0,2010-12-01 11:34:00,United Kingdom
435,536408.0,2010-12-01 11:41:00,United Kingdom
483,536409.0,2010-12-01 11:45:00,United Kingdom
541,536412.0,2010-12-01 11:49:00,United Kingdom
623,536415.0,2010-12-01 11:57:00,United Kingdom
